Date,Dividends
2001-12-24,0.801000
2002-06-24,0.679000
2002-12-23,0.657000
2003-06-23,0.663000
2003-12-29,0.677000
2004-06-25,0.300000
2004-12-29,0.330000
2005-03-28,0.297000
2005-06-27,0.358000
2005-09-27,0.337000
2005-12-23,0.348000
2006-03-28,0.281000
2006-06-27,0.321000
2006-09-26,0.304000
2006-12-22,0.310000
2007-03-27,0.291000
2007-06-26,0.334000
2007-09-25,0.327000
2007-12-24,0.327000
2008-03-26,0.318000
2008-06-25,0.335000
2008-09-25,0.347000
2008-12-24,0.324000
2009-03-26,0.324000
2009-06-25,0.316000
2009-09-25,0.327000
2009-12-24,0.347000
2010-03-26,0.300000
2010-06-25,0.313000
2010-07-27,0.098000
2010-08-26,0.101000
2010-09-27,0.098000
2010-10-26,0.099000
2010-11-24,0.092000
2010-12-24,0.100000
2011-01-26,0.097000
2011-02-23,0.098000
2011-03-25,0.089000
2011-04-25,0.097000
2011-05-26,0.094000
2011-06-24,0.096000
2011-07-22,0.093000
2011-08-26,0.095000
2011-09-23,0.093000
2011-10-26,0.093000
2011-11-23,0.091000
2011-12-23,0.088000
2012-01-25,0.090000
2012-02-22,0.089000
2012-03-23,0.084000
